LELL  Sabadell 
CPB6  [S] Pointe au Baril Station 
YAYR  Ayr 
66WI  J-3 Cub Field 
KFZY  OSWEGO CO 
77NC  Winnabow 
8N4  Flying Dollar 
WT51  Turumo (CAMA) 
H07  Highland-Winet 
XC009X  Kyuquot Seaplane Base 
KDAF  Necedah 
0KS4  Snoopys 
SJVV  Fazenda Catelani 
SDXE  CHACARA SERRADINHO 
FXMK  Mokhotlong 
KHWQ  Wheatland Co At Harlowton 
WZ89  Long Sule 
EDCK  Köthen 
XC0099  Sudbury Azilda Seaplane Base 
6CA9  [H] UCLA 
KJLN  Joplin Regl 
SJUM  [H] Umuarama 
13K  Eureka Municipal / Lieutenant William M. Milliken 
SA06  SANTA RITA 
SA3L  CARCARANA DI GIUSEPPE 
37PA  Smoketown 
YJIB  JIBALBAL 
42NJ  [H] Elmer Community Hospital 
YCBL  CAMBALLIN 
X50  Massey Ranch Airpark 
YCAW  Cambewarra 
UU20  [H] Zvezda 
1CA0  [H] R I Santa Susana Helistop 
72PA  [H] York Electro-Panel Psnl Use 
65M  Bernard Manor 
LFYK  MontMedy Marville 
YXTA  [H] TANGALOOMA RESORT 
KOQW  Maquoketa Muni 
UKLN  Chernivtsi Intl 
YTAM  Taroom 
66V  Bluff 
07NJ  [H] Palisades General Hospital 
9II4  Cruzan Field 
KORL  Orlando Executive 
O61  Cameron Airpark 
64I  Lee Bottom 
KMKL  MC KELLAR SIPES RGNL 
SAD9  ROJAS 
KCFD  Coulter Field 
67R  Rio Grande City Muni 
FV76  KWEKWE EAST 
UIUN  Nizhneangarsk 
KOSH  Wittman Regl. 
30TX  Farmers Co-Op 
XED002P  Rossfeld 
XED0021  [H] Uniklinikum Leipzig 
8TA1  Whatley Flying Service 
UUEE  Sheremetyevo Intl 
2MS7  Puff Airpark 
YHPB  [S] HAPPY BAY 
2OK3  Moore Airpark 
CYKG  Kangiqsujuaq (Wakeham Bay) 
FOON  MVENGUE 
YDEN  Denman 
EDAT  Nardt 
H13  Ben Emge 
WT45  Teratai (MAF) 
SDYA  [H] Carmo Couri 
SJWR  [H] Heligalo 
11T  Corpora 
75TX  LEONA RANCH 
EHTX  Texel 
SA1S  VENADO TUERTO/LA SIESTA 
EDBO  Oehna 
KDCY  Daviess County 
8MO8  Frazier 
SJTI  Fazenda Iapo 
SDZZ  Sitio Sao Jose 
SA2H  VILLA RUMIPAL PRIMER TENIENTE MARIO NI 
SA12  QUEMU QUEMU 
HAAX  AXUM 
SSXH  Fazenda Jacamin 
LS73  [H] Amax Metals Recovery Inc. 
CYJT  Stephenville 
HABC  Baco 
KSBP  San Luis County Regl 
6TA4  Winn Exploration Co. Inc 
ESCF  Linköping Malmen 
CYIO  Pond Inlet 
8M8  GARLAND 
77MO  Springhill 
2VG2  Upperville 
4X4  Wessington Springs 
SJUZ  [H] Santo Aleixo 
PS02  Heberlig 
XC009O  Gahcho Kue 
SDXR  Fazenda Vaca Mocha 
SJVA  [H] Djy 
10G  Holmes Co 
64LA  [H] Med-South 
81PN  [H] Armstrong County Memorial Hospital 
88R  Spicewood 
XKID28  Mackay Bar 
1F6  Dolgeville 
TA33  Meyer Field 
SAF1  EL TREBOL BURDISSO 
1MO4  Longwood Mfg Corp 
CKW6  Davin Lake 
1AZ8  Willow Springs Ranch 
32MO  Phillips 
XED000X  Frankfurt/Oder-Gronenfelde 
IL84  Douglas 
NE33  Clearidge 
X9CS  Cobbs Cross 
XED0009  Westhausen 
5OH6  Johnsons Fld 
IL90  [H] Nordic 
NE27  Abie Sky Ranch 
YMML  Melbourne Intl 
X78  Carter 
XED002G  [H] LRZ Zwickau 
UU08  [H] Vera 
7II1  [H] Rider - Private 
9KS8  [H] Allen County Hospital 
KCFS  Tuscola Area 
TA27  Flying K 
SADO  Campo de Mayo 
CKV2  Kelvington 
1MN0  Wetherbee Farm 
O49  Monarch Field 
83IN  Goodenough 
XOMMI  [H] Mubarraz Island 
XUYT  Kechchoyyag 
84OH  Hanshell Flying Apple 
EDBX  Görlitz 
WT79  Melak (IAF) 
MI90  [H] Baldwin Lake 
SDZM  FAZENDA SAO MARCO 
PS16  [H] Holy Redeemer Hospital 
6A4  Johnson County 
EDAC  Leipzig-Altenburg 
XC008K  Rosseau 
0II8  Suttons Field 
SFBI  Bleaker Island 
SA1D  TILISARAO 
11C  Rocky Pine 
SJWE  Fazenda Arariba 
SDYV  [H] Secovi 
LS67  [H] Avoyelles Hospital 
SSYL  Fazenda Tuju Puitan 
SSZW  Ponta Grossa 
CYHK  Gjoa Haven 
VEPU  PURNEA 
RPVI  Iloilo International Airport 
YDHI  DHIPIRRI 
SSWG  [H] Laguna 
PAWT  WAINWRIGHT AS 
RPUR  Baler 
79OH  Smith-Stewart Field 
EDOH  Langhennersdorf 
CBS7  Briercrest South 
SJYN  [H] Centro Empres. Araguaia II - CEA II 
FTTD  MOUNDOU 
EDLS  Stadtlohn - Vreden 
YSHS  [S] STENHOUSE BAY 
WT92  Panaga 
8CO7  Colorado Antique Field 
SDTF  Tatui 
ABP  Atkamba 
SJZU  [H] Seculum 
84F  Cotton Field 
KCKC  GRAND MARAIS COOK CO 
WXY5  Unnamed Fayu 
69N  Slatington 
KASG  Springdale Muni 
0NA5  Sorlie 
YTMN  Tanami 
1I9  Delphi Muni 
TX25  Lochridge Ranch 
YCMT  Clermont 
VI03  [H] Frenchmans Reef 
SVIE  Andres Miguel Salazar Marcano 
NK14  [H] Little Falls Ems 
YCNO  CONARGO 
1TN2  Kay 
MY38  [S] Irons Point 
TX31  EDWARDS LUCIAN WELLS RANCH 
KTIF  Thomas County 
YMAX  MANBULLO 
KMDT  Harrisburg Intl 
85B  [S] Shin Pond 
SCSD  San Fernando 
WXX1  Biricare 
KAQX  Allendale Co 
MN09  [S] Crystal Lake 
1CL7  [H] San Bernardino Community Hospital 
68J  Tallahassee Commercial 
FSSF  Frégate Island 
LFTL  [H] Cannes Heliport 
09NE  Summer Hill Farm 
LDOS  Zracna luka Osijek 
EDNL  Leutkirch - Unterzeil 
XC007D  Manotick Hope Field 
F08  EUFAULA MUNI 
SDVY  [H] Le Canton 
SJXJ  Alimentos Dallas 
DGLY  Yendi 
FVMD  MOUNT DARWIN 
WT86  Homeyo (CAMA) 
8C3  Tama 
6MA6  [H] Cotuit 
EDMW  Deggendorf 
SDUB  Ubatuba 
KJBR  JONESBORO MUNI 
99LA  Lawson Field 
SSUX  Usina Mandu 
PAUK  Alakanuk 
CYGD  GODERICH 
39PN  Nelsons Run 
YDIM  DIMBULAH 
SSVC  Vacaria 
LS98  [H] Sabine Medical Center 
XEG7TG  Talgarth 
5FL7  Twelve Oaks 
ESNV  Vilhelmina 
YSHD  [H] SHEFFIELD 
XC005L  Ethel 
XC0066  Cookstown Tally Ho Field 
6L3  Lisbon Muni 
EDLD  Dinslaken- Schwarze Heide 
88TX  Sears 
97CA  Tejon Ag 
SJZB  Vale do Tucana 
SDTQ  Fazenda Santa Thereza 
XC006W  [H] Pine Falls Hospital 
MI47  Dysinger 
4T7  [H] Little C Ranch 
SDWJ  Aldeia Kubenkroke 
SJYY  Rio do Sangue 
SSWP  Fazenda Araguaia 
KSNS  Salinas Muni 
ESOE  Orebro 
Q11  [H] Hunter Reservoir 
CYEL  ELLIOT LAKE MUNI 
RPUE  Lucena 
YFSA  FORSAYTH 
SSTK  Fazenda Uniao de Iguatemi 
26FD  Hennessy 
FALM  Makhado AFB 
LSMA  Alpnach 
TX19  Russells Ranch 
MY10  Deters Farms 
YAUG  AUGUSTA 
OH36  Miller Farm Landing Strip 
ETIC  Grafenwöhr AAF 
NK28  [H] TGP 254 
YCMC  COMMANCHE 
WAWJ  Tampa Padang 
IL47  [H] Lincoln Land Community College 
SCQL  El Boco 
87J  Rutten Dusting Strip 
KCHO  Charlottesville Albemarle 
UENI  Verhnevilyuisk 
YTMY  Tobermorey 
MN21  [S] Rileys Landing 
WXZ9  Acodi 
63FD  Fort Clark Estates 
3S5  Schiffer Acres 
SCPH  Puyuhuapi 
KART  WATERTOWN INTL 
MN35  [S] Wild Rice Lake 
09MI  [H] Michigan National Guard Headquarters 
85U  Soldier Bar USFS 
1K1  LLoyd Stearman Fld 
LJBL  Lesce-Bled 
KAQO  Llano Muni 
MY04  Kochs Personal Field 
VNBL  Baglung 
OH22  Stoltzfus Airfield 
YMBT  Mount Beauty 
FDSK  King Mswati III Intl 
IL53  Lung Rla 
KSOW  Show Low 
SSVT  [H] Gerdau 
ESNA  Hallviken 
MUPR  PINAR DEL RIO 
SSUO  [H] Unifly 
ESMZ  Byxelkrok Olanda 
CYGS  Germansen Landing 
FAMI  Marble Hall 
XLP0048  Alqueidao 
6M7  Marianna-Lee County 
XC0072  Sylvan Lake 
WZ62  Landau 
F34  FIREBAUGH 
6CO2  Mesawood Airpark 
SDUU  Usina California 
DGLN  Navrongo 
SDVN  Fazenda Santissima Trindade 
M63  Mc Neely 
LFAM  Berck Sur Mer 
KMRN  Foothills Regl 
46T  K Ranch 
SD62  Schaller 
61II  Kay Field 
5OR8  Hatch 
Z52  Johnsons Landing 
LSZH  Zurich 
OOTH  THUMRAIT 
MU35  Tallen 
8TX3  Edwards 
FMNH  ANTSIRABATO 
SSCB  Fazenda Santa Maria 
VEGK  GORAKHPUR 
WA62  Paradise Air Ranch 
2OR1  BIG MUDDY RANCH 
24II  [H] Good Samaritan Hospital 
FMMS  Sainte Marie 
FD37  Gentry 
SC04  [H] Piedmont Medical Center 
8V2  Stuart-Atkinson Muni 
95LL  Warren 
33I  Ripley 
EHMZ  Middelburg/Midden-Zeeland 
NY82  Alexander Farm 
ME62  Grigons Private Lndg Area 
SJNP  Novo Progresso 
WV53  Larew 
AV4  McBride 
SDCX  [H] Centro Empresarial Mourisco 
RKTA  Taean 
SJMK  Pedra Preta 
SC10  State Line Ultraport Flightpark 
32M  Norfolk 
LOKG  Ferlach-Glainach 
NY96  Mexico Airdrome 
KJVW  John Bell Williams 
SDAG  Angra dos Reis 
SJOT  Vista Alegre 
ME76  [H] Penobscot Bay Medical Center 
2TE8  WAGNER BRAXDALE 
WV47  Rexroad 
SJLO  Manalai 
PABU  BULLEN POINT AIRFORCE STATION 
XEDB8  Geratshof 
XEDAB  Aichach 
SSBF  Fazenda JL 
LZSY  Surany 
CYPZ  Burns Lake 
4GA8  Andrews 
WA76  Columbia Crest Winery 
FD23  [H] Fisher Island 
TLT  Tuluksak 
8VA3  [H] Fauquier Hospital Emergency Transport 
CYSA  Stratford Municipal 
4IL0  [H] Fairbury Hospital Emergency 
LSXW  [H] Wuerenlingen 
XED7R  [H] Universitätsklinikum Regensburg 
4NJ6  [H] Vineland Veterans Home 
32WA  Compressor Station Number 8 
3GA1  Prattsburg 
MU21  Miller Farm 
07TS  Cross-Country Estates 
YXMC  [H] MACLAY ISLAND 
M77  Howard County 
KAFF  USAF Academy Airfield 
8FD4  [H] Wuesthoff Hospital Emergency 
LFCR  Rodez Aveyron 
SCGA  Punta Galera 
SD76  Tennant Ranch 
PA57  [H] Eichelberger 
3IN1  Dangerous Field 
IN86  Wilson 
YMTN  Moura North 
XED6A  Farrenberg 
MU09  Hester 
5MI0  [H] Detroit Medical Center 
SCFR  Frutillar 
KMQB  MACOMB MUNI 
3FU  Faulkton Muni 
LFBA  Agen La Garenne 
45X  Tropical Plantation 
MKNG  Negril 
KMRY  Monterey Regl 
3F4  Vivian 
VYTL  Tachileik 
TDCF  Dominica/Canefield 
UI91  [H] NPS Nizhneudinsk 
1FD8  [H] Memorial Hospital-Flagler Helistop 
SC38  Pocotaligo 
SDCO  Sorocaba 
6X6  Richards Field 
EDXA  Achmer 
SJNG  Xidea 
TS66  [H] Lubbbock Methodist Hospital 
KSYM  Morehead-Rowan County Rgnl 
6VA6  [H] Roseland Rescue Squad 
SSCU  Fazenda Santa Marina 
CYQI  Yarmouth 
TS72  Rhome Meadows 
SSAJ  Fazenda Esperanca 
SSBQ  Frigorifico MARFRIG 
XEDAU  Bensheimer Stadtwiesen 
CYPM  Pikangikum 
VIST  SATNA 
6TX6  Jtj Ranch 
4PA5  Ponderosa 
KHND  Henderson Executive 
31A  Sugar Valley 
UI85  Nepa 
AZ99  Checkerboard 
FZOA  Kindu 
SDBK  Botucatu 
75OR  [H] Malheur Memorial Hospital 
SJLX  Mutum 
4A6  SCOTTSBORO MUNI WORD FLD 
EFAA  Aavahelukka 
SJOC  [H] Hotel Paradise 
SDAP  [H] Hospital Paulistano 
99XS  Sam Little International 
2XS8  Benson Airstrip 
UNKY  Kyzyl 
LFCE  Gueret Saint Laurent 
81IL  Illinois Valley Parachute Club 
LA32  LAKE AVIATION 
5XS1  [H] St Mary Hospital of Port Arthur 
KAEJ  Central Colorado Regional Airport 
92KY  Timmons Field 
CB01  Corbeil Bertha Rd 
16MN  [S] Valley News Co - Lake Washington 
47G  Mayes 
PA43  Arnold 
WABK  Karubaga 
30OR  Bero Field 
ZSCN  NANCHANG Changbei International Airport 
IN92  Klein 
0WY1  Dorsey Creek Ranch 
XED7E  [H] Erlangen Ebrardstrasse Helipad 
YMUJ  MUNJINA 
CPV2  Orangeville/Castlewood Field 
IN79  [H] Northwest Family Hosp 
SVRX  HACIENDA RIO YAZA 
Z91  Birch Creek 
LFNU  Uzes 
0LA7  [H] Exxon 
MKBS  Ian Fleming Intl 
CL32  [H] FIB Administration & Operations Buildi 
4WI8  Carhart Farms 
49L  [H] United Ca Bank Data Processing Ops 
LFMN  Nice/Cote d'Azur 
0NY3  Kermizian 
EDWN  Nordhorn-Lingen 
HTMT  Mtwara 
88OR  Tallman 
SJAH  Fazenda Gesso Integral 
EDTU  Bad Saulgau 
WX48  Bomela (NRC) 
3WI1  Olsons 
NY41  [H] Best Western Red Jacket Inn 
AZ72  [H] Police & Public Safety Building 
SJBS  Fazenda Livramento 
KDUC  HALLIBURTON FLD 
YHEC  Heck Field 
SSLZ  Fazenda Vitoria do Ivinhema 
ESTO  Tommelilla 
YDPO  Devonport 
RPNO  Siocon 
39IL  Mason 
4IA7  Witcombe Field 
PAOR  Northway 
TS99  [H] Action Nr 2 
SSOA  [H] Blue Tree Tower Faria Lima 
XU000W  Lebedi 
RPMT  Del Monte Plantation 
PAMM  [S] Metlakatla 
ESUK  Kiruna Kalixfors 
XU0012  Troekurovka Air Base 
TVSU  Union Island Intl 
PANV  Anvik 
SSNE  Santa Maria 
KSWF  Stewart 
RPLP  LEGAZPI 
39KS  Rolling Meadows 
EDVJ  Salzgitter-Schaeferstuhl 
XLF002Y  La Boissière 
88NV  Black Rock City - Burning Man 
KJYO  Leesburg Executive 
XLF0028  Amance 
XLF001B  Flastroff 
NY55  Burrello-Mechanicville 
TAPT  Coco Point 
ZMDN  Donoi 
KDTG  Dwight 
SJCW  JATAPU 
AZ66  [H] Mesa Hospital Medical Center 
SDMD  Fazenda Santa Izabel 
3PN3  Countryside 
LFOQ  Blois Le Breuil 
CL26  [H] Great Western Helistop 
KOGM  Ontonagon County 
1AL5  Berry Field 
LFLJ  Courchevel 
LHBY  Gyõrszentiván - Bõny 
18OI  Boggy Bottoms 
1CT1  [H] Tie Communications 
5AR7  Keller Airfield 
YALR  AILERON 
PFKK  Kokhanok 
LFMY  Salon de Provence 
3J7  Greene County Regl 
C44  Toutant 
FQQL  Quelimane 
18MA  [H] Holy Family Hospital 
LFNB  Mende Brenoux 
MRLM  Limon Intl 
YOCR  ORCHID CREEK 
PA94  [H] Sharon General Hospital 
YCUE  Cue 
SSOV  Fazenda Hora 
RPMC  Cotabato 
KSUN  Friedman Memorial 
II23  Summers 
XLF000Q  Harricourt la Gonio 
EDTB  Baden-Baden Oos 
02GA  Doug Bolton Field 
SJBD  [H] Mundo Plaza 
SDLW  Fazenda Campo Real 
UI52  [H] Zmeinovo 
XLF003J  La Bochet 
EDWY  Norderney 
YSSY  Sydney Kingsford Smith Intl 
SDOL  Olimpia 
OSKL  Kamishly 
KDVO  Gnoss Field 
4L1  [H] Methodist Hospital 
WX74  Duma (CAMA) 
UNEE  Kemerovo 
D22  Angola 
XLF001U  Salmbach 
EDUF  Falkenberg - Lönnewitz 
SDMS  [H] Marechiaro 
XLF0014  Dropt 
XLF002N  Val de Reuil 
UI46  [H] PZ Zheltura 199 
KHBG  Hattiesburg Bobby L Chain Muni 
8X9  [H] Lake Wales 
ME89  Buzzys Field 
XESN6  Vuollerim 
SDNH  Novo Horizonte 
NY69  John Gonzales Field 
WX60  Dagi (RBMU) 
4M5  Dermott Muni 
SSNR  Fazenda Novo Horizonte 
WA89  [H] Kadlec Medical Center 
PANA  Napakiak 
TVSB  Bequia/J F Mitchell 
RPLG  Wasig 
YDRG  DUARINGA 
XU001D  Sibay 
ESVG  Gagnef Himmelslätta 
SSMI  Fazenda Morrinhos 
XEDM7  Pilsach auf der Heid 
KSTJ  ROSECRANS MEM 
0PS4  Old Orchard 
II37  Arthur 
37FL  Flying Harness Farms 
SVPP  LUEPA 
IN51  Windy Knoll 
KVIS  Visalia Municipal 
YMYI  MARYMIA 
5MD7  Bluemel Field 
KTRL  Terrell Municipal 
T61  Fairway Farm 
4NE9  Holzfasters 
PA80  [H] St Lukes Hospital 
YOAM  OAKHAMPTON 
KCQM  COOK MUNI 
CKB7  Roblin 
C50  Franzmeir Field 
3K3  Syracuse-Hamilton Co Muni 
KAJR  Habersham Co 
SASQ  La Quiaca 
72FL  Gator Airpark 
LFOF  Alencon Valframbert 
M88  CORNELIA FORT AIRPARK 
1S7  Slate Creek 
OR56  Holiday 
52K  Charles E Grutzmacher Municipal 
SNTM  Turmalina 
SBAA  Conceicao do Araguaia 
NZRX  Roxburgh 
SLOR  JUAN MENDOZA 
04IL  Schertz 
SNWV  [H] Vigano 3 
0OR4  [H] Round Butte 
ENOC  [H] Oseberg C Platform 
17KY  Shannon Field 
L17  TAFT KERN CO 
XS72  F R Duke Farm 
SBBZ  Umberto Modiano 
59XS  [H] Scott & White Memorial Hospital 
MT41  Jefco Skypark 
AK92  Martin 
LY87  KOVIN 
2IS3  Jackson Field 
FB25  Hunda 
55ND  Petes Port 
8PA5  [H] Echo 8 Communications Facility 
SWZD  Fazenda Denusa Destilaria Nova Uniao 
IA16  Picayune 
KPEA  PELLA MUNI 
52KY  Air Castle 
41IL  Alcock Rla 
EPGL  Gliwice Trynek 
MS27  Tate 
WW27  Nanga Nyabu (MAF) 
K71  Lincoln Muni 
XSAC  Sackville Farm 
SIQP  [H] Chimical 
EGDM  Boscombe Down 
10ND  Smith Strip 
MD16  Waredaca Farm 
9Q6  [H] Shaws Hill 
VT39  Taylor 
24M  Wilderness Airpark 
CAX2  Axe Lake 
SIRK  [H] Hospital Pronto Socorro Joao XXIII 
6NJ3  [H] Wayne Office Helistop 
K65  Dighton 
WW33  Nggweri (UFM) 
AU09  [X] Evetts Field 
9MI0  [H] C M H S 
MMMM  Morelia/Gen Francisco Mujica 
FYSM  Swakopmund 
26R  Jackson County Regl 
SIPT  [H] Petrobras Refinaria Paulinea Replan 
EGEI  Isle of Skye Broadford 
MD02  Warfield Private Strip 
SISO  Fazenda Santo Ambrosio 
1GA4  Southern Ag Aviation 
ZYTL  ZHOUSHUIZI 
YGAS  Gatton Airpark 
25OI  Morrison Field 
FLKS  Kasama 
2LL5  Justus 
WIMM  Medan - Kualanamu International 
OEAB  ABHA 
MS33  Hobbs 
CT78  [S] Lord Creek 
FB31  Kgwedi 
IA02  Hoff 
SE02  GUABITAL 
OR42  Vons Airstrip 
04KS  [H] Robinson Industries 
EG38  Feshiebridge 
SNUI  Aracuai 
60OI  Zorn Acres 
EN6  Vauxhall 
2C8  Cavalier Muni 
LKRA  Rana 
50T  Keller Ranch 
SNVR  Aeroclube da Bahia - Itaparica 
6IL5  Keil 
L03  O Connell Brothers 
YWDT  WYANDOTTE 
NZPG  Pegasus Field 
XS66  Rabb Dusting Inc 
WI94  [H] Army Guard 
SWZS  Fazenda Nova Larga 
44WY  Underwood 
SWYH  Fazenda Alianca 
FB19  Grundy's 
CT50  [H] Marks 
OK83  Sheffield-Smith Airstrip 
4VA3  Flying W 
8IL0  Adkins Rla 
BGGH  Nuuk 
51G  Cagney 
SNWA  Guaxuma 
LKSR  Strunkovice 
CJH4  Ferland 
2A0  Mark Anton 
SNTZ  [H] Toa-toa 
8GA8  Falcons Aerie 
LKPI  Pribyslav 
0Y4  Lambert Fechter Municipal 
82TS  Lazy G Bar Ranch 
AR47  [H] Warner Brown Hospital 
NZRO  Rotorua 
AU21  Todmorden Homestead 
NV12  I-L Ranch 
CD07  [H] Poudre Valley Hospital 
TE23  [H] Santa Rosa Northwest Hospital 
RJSR  Odate Noshiro 
5G6  CHERRY SPRINGS 
E95  Benson Muni 
EIIR  Inisheer 
SIQG  Fazenda Morro Alto 
8NJ6  [H] Lamington House 
VT05  North Windham 
25MA  [H] High School 
FBGH  Goodhope 
4FD4  [S] Bay Seaplanes 
YKUL  Kulgera Town 
CS22  Banbury Lake Airstrip hwy914 
XKB70  Tiber Dam 
1PA9  Schadels 
27TA  [H] Headwind 
YKTH  KEITH 
VDBG  Battambang 
OEBN  Thablotin 
HE46  EL SHARQI 
YGAD  Garden Is 
AU35  Laguna Quays 2 
NV06  Soldier Meadow Nr 1 
K59  Amelia Earhart 
FYPA  Okapuka 
SISX  Santa Terezinha 
TE37  CANYON RANCH 
E81  Superior Municipal 
EGFE  Haverfordwest 
5F2  [X] Downtown Airpark 
SIPC  Portal do Ceu 
9OR8  Wooldridge Agstrip 
MMMZ  General Rafael Buelna Intl 
EKSI  [H] Siri Helideck 
VT11  Ass-Pirin Acres 
03NY  Talmage Fld 
50C  Grob 
NZPP  Paraparaumu (Kapiti Coast) 
KLTY  Liberty Co 
SBCI  CAROLINA 
YWDC  WODGINA 
4TX3  Forest Hill 
MM80  RANCHO LA MILPITA 
KLWB  GREENBRIER VALLEY 
62TA  Hawken Air One 
AR53  [H] Randolph County Medical Center 
MT69  Keiley Ranch Strip 
GA13  Double O Farm 
6PA0  Myer 
YLRN  LORRAINE STN 
46NY  [H] Merritt Park 
SWXL  Fazenda Lago Grande 
OK97  Ketchum Ranch 
55LL  Sky Soaring 
CT44  Ripley Field 
HEOW  Sharq El Owainat Airport 
SWVG  [H] Riacho Verde 
NH62  [H] Millipore 
AK51  [S] Tazlina Smokey Lake 
1WI4  [H] Johnson Wax 
PN04  Strittmatter 
YURL  URLAMPE 
KNBV  [H] Coastal Systems Station 
19II  [H] Henry County Memorial Hospital 
YWIS  Williamson (Military) 
OR95  Vineyard 
SNXN  Heringer 
KBTA  Blair Muni 
EGHN  Sandown 
28N  Vineland-Downstown 
SKFL  Gustavo Artunduaga Paredes 
KIDP  INDEPENDENCE MUNI 
2LA2  [H] IGH 
ZWTC  Tacheng 
KPJY  Pinckneyville Du Quoin 
EPKO  Korne 
LYBE  Belgrade 
MZCK  Caye Caulker 
KPIB  Hattiesburg-Laurel Regl 
SPPA  Puerto Ocopa 
2NY6  [H] Slate Hill 
3AL0  [H] Fayette County Hospital 
WN19  [S] Gig Harbor 
KRPB  Belleville Muni 
OEMA  Prince Mohammad bin Abdulaziz 
AL23  [H] Riviera 
KPHF  Newport News/Williamsburg International 
YGMP  GRAMPIANS 
WY28  Canyon View Ranch 
EERU  Ruhnu 
L001  [H] Comandancia Guardia Civil Bilbao 
87GA  [H] Tanner Medical Center Villa Rica 
YRUN  RUNNING CREEK 
MMAN  Del Norte Intl 
SNZQ  Pista Santa Lucia 
VVPK  Pleiku 
OR81  Olinger Strip 
EB5  Fairview 
SNYJ  Pista Sao Jorge 
B18  [S] Alton Bay 
LRSP  Sanpetru Brasov 
YBPI  Brampton Island 
SWWC  [H] Ceta Ecotel 
NH76  [H] Concord Hospital 
MT96  Wilhelm Airstrip 
PN10  Cash Creek 
SWTX  Fazenda Olho D'agua 
SNXY  Cikel Brasil Verde 
1ND1  Fordahl 
0U7  Hollow Top 
MM57  NAS SALINA CRUZ 
KBTV  Burlington Intl 
AR84  Bobwhite Hill Ranch 
BGKK  KULUSUK 
YWID  Widden 
SWUK  Uapui-Cachoeira 
OK40  Eden Ranch 
YBRA  Benambra 
WI57  [H] Chippewa Valley Hospital 
U01  AMERICAN FALLS 
SWVP  Fazenda Santa Izabel 
FL02  Fox Field 
XBG000J  [H] Kuummiit 
WN31  Slinkard Airfield 
YGLC  GLENCOE 
NFNG  Gau 
WY00  Red Reflet Ranch 
EGKB  Biggin Hill 
5K5  Laurens Skyways 
KGJT  Grand Junction Regl 
KIDG  Ida Grove Muni 
7SP  Seven Springs 
EGHY  Truro 
7S1  TWIN BRIDGES 
WY14  Ipy Ranch 
E42  Major Samuel B Cornelius Field 
5PS8  [H] Heffernan 
KEST  Estherville Muni 
EIGN  Gowran Grange 
7R5  [H] PHi Cameron 
WIBB  Pekanbaru Sultan Syarif Kasim II 
KPHQ  Snow 
XDOR  Dornoch 
KRSN  Ruston Regl 
YGMG  GAMURRUGUYURRU 
WN25  [H] Myrtle Werth Medical Ctr 
8WI8  Stupek Farms 
SWTO  Paraiso Do Tocantins 
CT87  [S] Bootleggers 
OK54  May Ranch 
AK79  Chignik Lake 
48OR  Lookingglass 
DXXX  Gnassingbe Eyadema Intl 
WI43  Atkins Ridge 
SWWT  Silvio Goncalves de Mello 
XKLC0  Left Coulee 
FL16  Market World 
1NE5  Sibbernsen 
AR90  [H] Stephens 
KBUR  Bob Hope Burbank 
XS99  Lake Water Wheel 
SNZF  Fazenda Bela Vista 
GQNF  KIFFA 
CJE3  Weyburn 
KBVI  Beaver Co 
XCCCI9  Cortes Island 
LGKY  Kalymnos 
ENBS  Batsfjord 
SIIV  [H] Kekafly II 
MMTO  Toluca Lic. Adolfo Lopez Mateos 
7D8  Gates 
01OH  Gillmor 
KISN  Sloulin Fld Intl 
9OH6  Weaver 
SIJM  Fazenda Santa Maria do Porto da Capiva 
I73  Moraine Air Park 
9I0  Havana Regional 
43IN  Hepler 
AGAR  Ulawa 
ID72  Huskey 
5KS8  Jack Poore 
CZUC  IGNACE MUNI 
UT54  Crystal Springs Ranch 
SWAY  Araguaiana 
2KS1  Rush 
YNPD  NAPIER DOWNS STN 
SP25  [S] Andros Town Harbor 
SWBB  Barra do Bugres 
44OH  [H] SJS 
XNZQU  Arrowsmith Station 
SNLK  Agropecuaria Ferreira Penco LTDA 
EBAR  Arlon 
UHSN  Nogliki 
SNOP  Propria 
MA72  Tuckernuck 
LKKC  Krizenec 
XK2MT5  Briar Creek 
72I  Bartlett 
NTGV  Mataiva 
71NE  Neben 
N01  New London 
70V  La Sal Junction 
0MS2  Morgan Field 
GNU  Goodnews 
DABC  Mohamed Boudiaf Intl 
VVDN  Danang Intl 
MA66  Wolomolopoag 
SNNT  NOVA PONTE 
0OK6  Ellis Harvey 
04PN  [H] Strawbridge & Clothier Exton 
NZHA  Hawera 
73VA  [H] Greensville Memorial Hospital 
CO93  Perry Park 
ENVA  Trondheim Vaernes 
UT40  Payne Field 
Y30  Pbeaaye 
YLID  [H] LIDDELL 
SWCF  Fazenda Confap 
34NE  Evans Ranch 
XEKSH  Aarhus Heart Center 
VA2D  RATLAM 
NC09  Laneys 
KRDG  Reading Regl Carl A Spaatz Fld 
ID66  [H] Clearwater Valley Hospital 
41PN  [H] Decarbo Ambulance Service 
SKSM  Simón Bolívar 
SIHR  [H] Roberta Lombardi 
YRAK  Ranku 
IS57  Krause 
SKPV  El Embrujo 
SIKI  [H] Txai Resort Itacare 
9H4  Randolph M Wells 
I67  Cincinnati West 
VA36  F. U. M. A. 
3MO1  [H] Police Dept Helicopter Maint Facility 
NC21  Aero Plantation 
7OI7  Southcreek 
WRBU  Buntok/Sanggo (Local Gov) 
3TA8  Picosa Ranch 
7G4  Blue Knob Valley 
SIJZ  Fazenda Vera Paz 
SN96  Kennedy 
